Current Rank,Peak Rank,Peak Season
Diamond 1,Ascendant 3,EPISODE 9 // ACT I
Diamond 3,Ascendant 3,V25 // ACT VI
Diamond 1,Diamond 2,V25 // ACT III
Diamond 1,Ascendant 2,V25 // ACT III
Diamond 1,Ascendant 1,EPISODE 9 // ACT III
Immortal 3,Immortal 3,V25 // ACT IV
Bronze 1,Bronze 1,V26 // ACT II
invalid,invalid,invalid
invalid,invalid,invalid
Silver 2,Silver 2,V26 // ACT II
invalid,invalid,invalid
invalid,invalid,invalid
Bronze 3,Bronze 3,V26 // ACT II
Silver 1,Gold 1,EPISODE 9 // ACT III
Unranked,Gold 2,EPISODE 5 // ACT III
Silver 2,Gold 2,EPISODE 8 // ACT III
Unranked,Bronze 1,EPISODE 7 // ACT III
Silver 1,Gold 2,V25 // ACT IV
Unranked,Bronze 1,V25 // ACT III
Ascendant 2,Ascendant 2,V26 // ACT II
Immortal 3,Immortal 3,EPISODE 8 // ACT I
Ascendant 2,Ascendant 3,EPISODE 9 // ACT III
Platinum 1,Diamond 2,V25 // ACT V
Gold 3,Diamond 1,EPISODE 9 // ACT III
Gold 3,Diamond 3,V25 // ACT V
Unranked,Ascendant 1,V25 // ACT VI
Unranked,Bronze 1,EPISODE 5 // ACT III
invalid,invalid,invalid
Immortal 1,Immortal 2,EPISODE 9 // ACT II
Gold 2,Gold 2,V26 // ACT II
